NUMERO DE OFICINA,NOMENCLATURA,NOMBRE DE AGENCIA,ESTATUS
3503,ZMD,LMSDENVER,ACTIVA
3326,NWS,"SEDENA NOGALES, SON",ACTIVA
3377,QWA,SEDENA FUERZA AEREA HERMOSILLO,ACTIVA
3439,FFB,SEDENA 42 BTN INF GUAMUCHIL,ACTIVA
3459,HMB,SDN 89 BT INF LOS MOCHIS,ACTIVA
3884,LDI,BUSOLINEA TIJUANA,ACTIVA
3586,ZMP,47/A ZNA MILITAR PIEDRAS NEGRA,ACTIVA
3885,TDT,TICKETBUS PLUS OAXACA,ACTIVA
3580,SNY,SDN86 BAT.D.INFNT.ACAPONETA N.,ACTIVA
3886,TSU,TICKETBUS PLUS TAPACHULA,ACTIVA
3495,HMG,SDN HOSPITAL CENTRAL MILITAR,ACTIVA
3576,SHS,SDN36/OCM.NO.12-B PEDRO A.SANT,ACTIVA
3574,SNP,SDN8/A C.M.NO.8-B G.PEDRO HIN.,ACTIVA
3465,MYL,"Sedena 5 Zn. Mil. Chihuahua, Ch.",ACTIVA
3485,OWN,ACNUR (ONU),ACTIVA
3443,TUY,"T.U.CASTA.SAPI DE CV ""TRUCKA""",ACTIVA
3379,WZM,SEDENA 4A ZONA MIL HERMOSILLO,ACTIVA
3575,SHD,SDN12/A C.M.NO.12-A SLD.DAMIAN,ACTIVA
3597,ZSN,RAIZZA SOLUTIONS NETWORK,ACTIVA
3593,MSJ,MINERA SAN JULIAN,ACTIVA
3322,QWN,SEDENA ENSENADA,ACTIVA
3501,LXW,LMSELPASO,ACTIVA
3489,WNS,SERV SN JOSE DE PLATA,ACTIVA
3900,ZMC,"SEDENA 19/A ZONA MILITAR,TUX",ACTIVA
3427,BMJ,"SEDENA BAM 12, TIJUANA",ACTIVA
3419,BTI,SEDENA 105 B IN AEROP FRONTERA,ACTIVA
3415,VWO,SEDENA 16 REG CAB MTZ NVO LAR,ACTIVA
3511,LRB,AG.PUEBLA CORP.,ACTIVA
3452,DIT,"SEDENA 15 B INF.TANCOL,TAMP",ACTIVA
3434,S2C,SEDENA 2A CINE EL SALTO P NVO,ACTIVA
3906,CKW,SEDENA  3/A ZONA MILITAR BCS,ACTIVA
3435,ZMI,SEDENA 12A ZM IRAPUATO,ACTIVA
3454,NCV,"SEDENA 51 INF.CD.CUAU,VER",ACTIVA
3455,WXG,Sedena 11/A Zn. Ml. Guadalp. Z.,ACTIVA
3908,GKP,"SEDENA IXTEPEC, OAX.46A ZON M",ACTIVA
2202,GCT,PRUEBAS AGENCIAS,ACTIVA
3457,BSD,SDN 97/BT INF FRSNLL ZAC,ACTIVA
3421,MHZ,"84 ZONA MILITAR HUEJUTLA, HGO.",ACTIVA
3462,GKL,"SDN GUAR.MIL OJINAGA,CH",ACTIVA
3456,ZZC,Sedena 20/A Zn. Ml. Colima.,ACTIVA
3899,JSF,AG. JAVER FLORES SUAREZ,ACTIVA
3348,ZMH,AG. ZONA MILITAR PACHUCA . HGO.,ACTIVA
3909,KSY,"SEDENA IXCOTEL, OAX. 28A ZON M",ACTIVA
3907,XKW,SEDENA 44/A Z.M. MIAHUATLAN,ACTIVA
3504,ABU,LMSABURQUERQUE,ACTIVA
3482,SWC,SEDENA CTEL.MIL.74B.INF,ACTIVA
3464,HYC,"Sedena 42 Zn. Mil. Hidalgo, Ch.",ACTIVA
3460,GHB,SDN 72 BT INF GOMEZ PAL,ACTIVA
3461,KWO,"SDN 28 BT INF AGUAJE,BC",ACTIVA
3463,YWB,SDN 69 BT INF SALTILLO,ACTIVA
3498,ZML,SDN 37/A ZONA MIL.STA LUCIA,ACTIVA
3494,SBP,SDN 11 BRIGADA DE POLICIA MIL,ACTIVA
3488,SYT,SDN XI REG.MIL.TORREON,ACTIVA
3912,ZOM,SDN CD VICTORIA TAMPS 48/A ZM,ACTIVA
3502,SBF,SEDENA 70 BATALLON DE INF.,ACTIVA
3499,SMZ,SDN 16/A ZONA MILITAR,ACTIVA
3432,DBI,SEDENA 2 BTN INF CD CUAUHTEMOC,ACTIVA
3496,SDM,SDN CUERPO DE POLICIA MILITAR,ACTIVA
3558,SCU,"SD 24A ZONA MIL.CUERNAVACA,MOR",ACTIVA
3565,MYS,"SDN IV R.M.MONTERREY,N.L.",ACTIVA
3552,ZMG,SDN 14A ZONA MILITAR AGUASCALI,ACTIVA
3273,SWV,"SEDENA, D.F",ACTIVA
3570,CGM,SDN CUARTEL GENERAL 25A PUEBLA,ACTIVA
3562,SOE,"SDN54 BAT.INF.PTOESCONDIDO,OAX",ACTIVA
3396,XMO,ORG.INTL.P/MIGRACIONES (OIM),ACTIVA
3324,WLC,SEDENA SAN LUIS RIO COLORADO,ACTIVA
3612,OAD,SEDENA ACAPULCO,ACTIVA
3911,ZWR,"SDN EL CHIVATITO, CD MEX",ACTIVA
3913,MIL,"SDN CHILPANCINGO, GRO CAMPO MIL",ACTIVA
3617,YDO,TRASLADO Y LOG ESPECIALIZADA,ACTIVA
3615,HRM,HOSP MILITAR REG DE ESP MAZA,ACTIVA
3590,ZMM,SDN HOSPITAL MILITAR DE ZONA CINCO DE MAYO DGO,ACTIVA
3618,ZLI,HOSPITAL MILITAR ZACATECAS,ACTIVA
3614,HGM,HOSPITAL MIL REG GUADALAJARA,ACTIVA
3561,SPX,"SDN47 BAT.INF PINOTEPA,NAC.OAX",ACTIVA
3623,KJN,SDN 93 BATALLON TLAPA,ACTIVA
3622,OPO,AGENCIA DE GALES,ACTIVA
3321,WBN,SEDENA MEXICALI,ACTIVA
3624,BCG,SDN 48 BATALLON CRUZ GRANDE,ACTIVA
3402,NZC,SEDENA CULIACAN SIN,ACTIVA
3451,AYX,AERO.CDMX.TM 2 PULLMAN,ACTIVA
3505,GEL,LMSLOS ANGELES,ACTIVA
3512,EMI,EMIRSA,ACTIVA
3469,VPC,"VIAJES PREMIER,CDMX",ACTIVA
3497,ZMS,SDN 1/A ZONA MILITAR,ACTIVA
3414,SZR,SEDENA 3A REG MIL MAZATLAN,ACTIVA
3602,SDH,"SDN. H. MIL. REG. HERMOSILLO, SON.",ACTIVA
3325,QSN,"SEDENA SONOYTA, SON",ACTIVA
3339,XXQ,SEDENA 5A REGION MIL,ACTIVA
3751,JNG,AGENCIA TRANSPORTES LOGISTICOS,ACTIVA
3747,JIJ,"27/A ZM (PIE DE LA CUESTA,GRO)",ACTIVA
3458,WXO,Sedena Base Aerea Militar 10 Cul.,ACTIVA
3746,GFV,COMANDANCIA EJERCITO CAMPO 1,ACTIVA
3697,ZVS,ABC TRANSPORTE DE PERSONAL,ACTIVA
3753,NMV,TRASNPORTE PERSONAL TECHNIP TP,ACTIVA
3754,MNF,TRANSPORTES PERSONAL ICA,ACTIVA
3519,CSE,COMERCIALIZADORA DE VIAJES Y S,ACTIVA
3378,ZWQ,SEDENA LA ESPERANZA,ACTIVA
3755,KGB,AGENCIA PHES TRANSPORTES SA CV,ACTIVA
3587,GCM,SDN.26REG.DE CABALLERIA MOTOR,ACTIVA
3431,DZM,SEDENA 10A ZM DURANGO,ACTIVA
3433,BIQ,SEDENA 71 BTN INF STGO PAPASQ,ACTIVA
3604,IVT,ISVET TOURS SA DE CV,ACTIVA
3762,GEA,AGENCIA VIAJES MARFORE,ACTIVA
3761,NFW,AGENCIA GUAYMAS EIMC,ACTIVA
